jester: 27 classes
storing name: TSM_jester_RGB_resnet50_avg_segment8_e50_lr5e-03_npb_gp22

    Initializing TSN with base model: resnet50.
    TSN Configurations:
        input_modality:     RGB
        num_segments:       8
        new_length:         1
        consensus_module:   avg
        dropout_ratio:      0.5
        img_feature_dim:    256
            
=> base model: resnet50
#################### NO FLIP!!!
video clips:118562
video clips:14787
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
Epoch: [0][840/2470], lr: 0.00500	Time 0.532 (0.553)	Data 0.000 (0.005)	Loss 1.3080 (2.0660)	Prec@1 56.250 (38.441)	Prec@5 89.583 (73.494)
Epoch: [0][860/2470], lr: 0.00500	Time 0.561 (0.552)	Data 0.000 (0.004)	Loss 2.1127 (2.0547)	Prec@1 37.500 (38.710)	Prec@5 70.833 (73.754)
Epoch: [0][880/2470], lr: 0.00500	Time 0.533 (0.552)	Data 0.000 (0.004)	Loss 1.7169 (2.0461)	Prec@1 45.833 (38.888)	Prec@5 83.333 (73.981)
Epoch: [0][900/2470], lr: 0.00500	Time 0.545 (0.552)	Data 0.000 (0.004)	Loss 1.2270 (2.0376)	Prec@1 66.667 (39.105)	Prec@5 85.417 (74.172)
Epoch: [0][920/2470], lr: 0.00500	Time 0.535 (0.551)	Data 0.000 (0.004)	Loss 1.6291 (2.0298)	Prec@1 43.750 (39.249)	Prec@5 89.583 (74.362)
Epoch: [0][940/2470], lr: 0.00500	Time 0.533 (0.551)	Data 0.000 (0.004)	Loss 1.4739 (2.0218)	Prec@1 58.333 (39.428)	Prec@5 79.167 (74.526)
Epoch: [0][960/2470], lr: 0.00500	Time 0.532 (0.551)	Data 0.000 (0.004)	Loss 1.5360 (2.0130)	Prec@1 43.750 (39.605)	Prec@5 83.333 (74.692)
Epoch: [0][980/2470], lr: 0.00500	Time 0.533 (0.550)	Data 0.000 (0.004)	Loss 1.4918 (2.0051)	Prec@1 52.083 (39.751)	Prec@5 83.333 (74.834)
Epoch: [0][1000/2470], lr: 0.00500	Time 0.532 (0.550)	Data 0.000 (0.004)	Loss 1.4296 (1.9972)	Prec@1 50.000 (39.906)	Prec@5 87.500 (74.977)
Epoch: [0][1020/2470], lr: 0.00500	Time 0.552 (0.550)	Data 0.000 (0.004)	Loss 1.6470 (1.9904)	Prec@1 47.917 (40.028)	Prec@5 81.250 (75.141)
Epoch: [0][1040/2470], lr: 0.00500	Time 0.536 (0.550)	Data 0.000 (0.004)	Loss 1.9675 (1.9835)	Prec@1 41.667 (40.240)	Prec@5 77.083 (75.304)
